"position_code","trc_incentive_name","rate","workgroups","trc_incentive_code","effective_date"
"10000001",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10000567",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10001080",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10001673",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10002202",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10002232",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10002233",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10002300",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10002300",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10002300",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10002300",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10002313",ค่ากะ,30.00,"CPSIFACNO6M,KPAFACNO6M,KPIFACNO6M,KSPFACNO6M,KSPOFFNO5M",TRC_INCENTIVE_0008,2026-02-01
"10002314",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10002846",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10002847",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10002889",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10003024",เบี้ยขยันสะสม,0.00,"01SARASAUS_M",TRC_INCENTIVE_0243,2026-01-01
"10003064",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10003074",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10003090",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10003090",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10003091",เบี้ยขยันสะสม,0.00,"01NONGFOOD_M",TRC_INCENTIVE_0235,2026-01-01
"10003145",เบี้ยขยันสะสม,0.00,"01NONGJEGFU_M",TRC_INCENTIVE_0242,2026-01-01
"10003849",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10003849",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10003849",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10003849",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10003861",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10003861",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10003861",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10003861",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10003883",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10003883",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10003883",ค่ากลุ่มงาน ABCD,17.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0004,2025-12-01
"10003892",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10003906",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10003906",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10003906",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10003958",เบี้ยขยันสะสม,0.00,"01NONGJEGFU_M",TRC_INCENTIVE_0242,2026-01-01
"10004162",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10004162",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10004162",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10004162",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10004339",เบี้ยขยันสะสม,0.00,"01MAHAFOOD_M",TRC_INCENTIVE_0300,2026-03-01
"10004467",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10004467",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10004467",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
"10004467",ค่ากลุ่มงาน ABCD,34.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0005,2026-02-01
"10004470",ค่ากะ,10.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0006,2026-02-01
"10004470",ค่ากะ,15.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0007,2026-02-01
"10004470",เบี้ยขยันสะสม,0.00,"MEIJFACT_D,MEIJFACT_M",TRC_INCENTIVE_0012,2025-12-01
