position_code,trc_incentive_name,rate,workgroup,trc_incentive_code
10326165,ค่าอาหาร,40,01KORSLAU_M,TRC_INCENTIVE_0001
10403528,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10402549,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10402601,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10402221,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10400078,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10401031,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10401027,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398113,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398058,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398108,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398037,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398111,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398038,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398114,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398110,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398116,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398040,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10398034,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10391830,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10389315,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10389302,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10372370,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10382049,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10372336,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10381142,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10372371,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10380195,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10372335,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10370399,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10367250,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10368826,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10368827,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10368981,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10368980,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10366436,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10365582,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10365584,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10359506,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10355848,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10354022,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10354027,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
10355846,ค่ากลุ่มงาน ABCD,34,06SOUTFARM_M,TRC_INCENTIVE_0076
