Employee,Level,Workgroup,Position_Name
10659772,13,05WESTSWIN_M,Staff 13
10644732,12,WGDUMMY_SMDW,Professional 12
10674928,12,09HILAIOFF_M,Professional 12
10662557,13,05ISANPSLA_D,Staff 13
10662610,13,05ISANPSLA_D,Staff 13
10675093,11,WGDUMMY_SMDW,Professional 11
10676494,13,03RATCFEED_M,Staff 13
10661847,13,01SARACSLA_D,Staff 13
10682311,13,01MIN1CFUR_D,Staff 13
10673980,13,05WANGFARM_M,Staff 13
10664868,13,05BUDZONE-B_D,Staff 13
10662221,13,01KORSLAU_D,Staff 13
10505854,13,01WANGSAUC_D,Staff 13
10658907,11,01MAHAFOOD_M,Professional 11
10660479,13,01KORSLAU_D,Staff 13
10676498,13,01SARACSLA_D,Staff 13
10672299,13,01SARACSLA_D,Staff 13
10039018,10,WGDUMMY_DMUP,Professional 10
10676497,13,03RATCFEED_M,Staff 13
10022739,12,03KHONFEED_M,Professional 12
10059793,13,01BANGDSLA_M,Staff 13
10192480,11,07MODETRAD_M,Professional 11
10620821,13,05NORTINTE_D,Staff 13
10654470,13,01MIN1CFUR_D,Staff 13
10375220,11,WGDUMMY_SMDW,Professional 11
10658981,13,05PAETFURT_D,Staff 13
10009518,11,05SARABRFA_M,Professional 11
10230833,13,01KORFURP_D,Staff 13
10545736,11,CPPCPTGOFF_M,Professional 11
10676499,13,03RATCFEED_M,Staff 13
10167550,13,07BKKFM_M,Staff 13
10642306,13,05NORTINTE_D,Staff 13
10666285,13,05BUDZONE-FS_D,Staff 13
10645228,12,01MIN1CSLA_M,Professional 12
10519766,12,01WANGSAUC_M,Professional 12
10567126,13,05EASTSWIN_M,Staff 13
10618583,12,CPIOFF_M,Professional 12
10160610,11,03KOKKFEED_M,Professional 11
10675910,13,05PHRAPSLA_D,Staff 13
10231390,13,01KORSLAU_D,Staff 13
10666317,13,01SARACSLA_D,Staff 13
10675108,13,01KORFURP_D,Staff 13
10038482,10,WGDUMMY_DMUP,Professional 10
10088627,13,MEIJOFFI_M,Staff 13
10411801,13,05ISANPSLA_M,Staff 13
10634977,11,09LEADEROFF_M,Professional 11
10675095,13,01KORFURP_D,Staff 13
10676505,13,01SARACFUR_D,Staff 13
10675354,13,01PAETFOOD_D,Staff 13
10676507,13,01SARACFUR_D,Staff 13
10662105,13,05WESTPSLA_D,Staff 13
10675104,13,01KORFURP_D,Staff 13
10503877,13,05ISANPSLA_M,Staff 13
10357636,13,05ISANPSLA_M,Staff 13
10660916,13,01KORFURP_D,Staff 13
10619741,13,01BANGDSLA_D,Staff 13
10675134,13,01KORFURP_D,Staff 13
10673949,13,05ISANPSLA_D,Staff 13
10023251,13,01SARACSLA_M,Staff 13
10675156,10,WGDUMMY_SMDW,Professional 10
10662065,13,05PAETFURT_D,Staff 13
10675131,13,01SARACSLA_D,Staff 13
10608817,13,05ISANPSLA_D,Staff 13
10661060,13,01SARASAUS_D,Staff 13
10662125,13,05ISANPSLA_D,Staff 13
10675340,13,01SARACSLA_D,Staff 13
10662224,13,01KORSLAU_D,Staff 13
10676511,13,01BANGDSLA_M,Staff 13
10675151,13,01SARACSLA_D,Staff 13
10666839,13,05BUDZONE-B_D,Staff 13
10295249,12,05ISANPSLA_M,Professional 12
10675152,13,01SARACSLA_D,Staff 13
10662318,11,09CPFOFF_M,Professional 11
10661670,13,05PAETFURT_D,Staff 13
10603697,12,08CHESTER_M,Professional 12
10423931,11,05ISANPSLA_M,Professional 11
10431393,12,05ISANPSLA_M,Professional 12
10676515,13,CPSIFACNO6M,Staff 13
10655363,12,03PAKTFEED_M,Professional 12
10658633,13,01SARACSLA_D,Staff 13
10602113,13,05ISANPSLA_D,Staff 13
10675247,13,01NONGFOOD_D,Staff 13
10658378,12,WGDUMMY_SMDW,Professional 12
10663746,13,01SARACFUR_D,Staff 13
10664867,13,05ISANPSLA_D,Staff 13
10661716,13,05CHICKBEF_M,Staff 13
10661882,12,07FMOFF_M,Professional 12
10652907,12,CPPSFARMPRO_M,Professional 12
10661287,13,05PAETFURT_D,Staff 13
10319811,11,CPGOFF_M,Professional 11
10663998,13,01SARACSLA_D,Staff 13
10662603,13,01KORSLAU_D,Staff 13
10611116,13,01KORFURP_D,Staff 13
10655688,12,WGDUMMY_SMDW,Professional 12
10662850,13,05BANNEGSO_D,Staff 13
10624920,11,09LEADEROFF_M,Professional 11
10427411,11,09CPFITOFF_M,Professional 11
10662245,13,05ISANBRFA_M,Staff 13
10672952,13,05BUDZONE-B_D,Staff 13
10598214,13,05ISANPSLA_D,Staff 13
10662392,13,01KORSLAU_D,Staff 13
10661010,13,01KORSLAU_D,Staff 13
10666743,13,05NORTINTE_D,Staff 13
10514276,13,05BANJINTE_M,Staff 13
10606248,13,05ISANPSLA_D,Staff 13
10627228,7,09GMOFF_M,Senior Management 07
10675007,10,09CPFITOFF_M,Professional 10
10655853,12,KSPFACNO6M,Professional 12
